trade_date,ts_code,name,market_segment,segment_limit_max_height_bucket,segment_retreat_state_bucket,market_chain_count_bucket,market_emotion_state_bucket,volume_ratio_bucket,n_branch,n_rule_id,first_time,first_time_minutes,circ_mv,limit_close,fill_probability,fill_space_ratio,fill_probability_method,model_training_end_date,execution_status,buy_date,exit_date,exit_rule,stock_return_before_fees,strategy_version,sample_scope
20240812,300147.SZ,香雪制药,chi_next,1,neutral,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,102942,629.0,697489.2431,10.61,1.0,2470.0198689410377,asof_turnover_space_proxy_v2,20240809.0,OK,20240813,20240814,FIXED_CLOSE,0.06693306693306722,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240813,600686.SH,金龙汽车,sh_main,3,neutral,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,143838,878.0,1172372.5268,16.35,1.0,512.0457094382838,asof_turnover_space_proxy_v2,20240812.0,OK,20240814,20240815,INTRADAY_LIMIT_UP_MINUS_OFFSET,0.14885114885114858,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240819,300184.SZ,力源信息,chi_next,2,neutral,3_8,mixed,4_8,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,135921,839.0,768361.2607,7.33,1.0,4453.696174016132,asof_turnover_space_proxy_v2,20240816.0,OK,20240820,20240821,FIXED_CLOSE,0.24079949900845432,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240820,601921.SH,浙版传媒,sh_main,1,neutral,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,94254,582.0,404066.4176,9.57,1.0,290.0907837408679,asof_turnover_space_proxy_v2,20240819.0,LIMIT_UP_UNBUYABLE,20240821,,,,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240821,002600.SZ,领益智造,sz_main,4_5,neutral,3_8,mixed,2_4,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,104415,644.0,4935772.8443,7.16,1.0,8020.431534621163,asof_turnover_space_proxy_v2,20240820.0,OK,20240822,20240823,FIXED_CLOSE,0.0035930456098525188,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240822,000810.SZ,创维数字,sz_main,gte_6,warming_2day,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,93712,577.0,1182486.724,10.58,1.0,1898.300295352824,asof_turnover_space_proxy_v2,20240821.0,OK,20240823,20240826,INTRADAY_LIMIT_UP_MINUS_OFFSET,0.17930849638166735,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240827,000062.SZ,深圳华强,sz_main,gte_6,retreat_2day,3_8,mixed,4_8,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,93951,579.0,2145500.6164,20.54,1.0,7326.659734587879,asof_turnover_space_proxy_v2,20240826.0,OK,20240828,20240829,INTRADAY_LIMIT_UP_MINUS_OFFSET,0.19996058100506842,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240828,301571.SZ,国科天成,chi_next,1,retreat_weak,3_8,mixed,lt_1,CURRENT,LOW_HEIGHT_RETREAT_FIRST_TIME,93427,574.0,159984.3559,46.93,1.0,403.51527177863824,asof_turnover_space_proxy_v2,20240827.0,OK,20240829,20240830,FIXED_CLOSE,-0.1449630172782882,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240902,000062.SZ,深圳华强,sz_main,4_5,neutral,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,93321,573.0,2964064.9987,28.38,1.0,5725.8581313114055,asof_turnover_space_proxy_v2,20240830.0,OK,20240903,20240904,INTRADAY_LIMIT_UP_MINUS_OFFSET,0.2248465819894392,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
20240912,000158.SZ,常山北明,sz_main,4_5,neutral,3_8,mixed,1_2,SUPPLEMENT,CHAIN_3_8_MIXED_AMOUNT_DESC,111654,676.0,1375051.0895,8.66,1.0,1228.6505727290696,asof_turnover_space_proxy_v2,20240911.0,OK,20240913,20240918,INTRADAY_LIMIT_UP_MINUS_OFFSET,0.10569042607877566,N_two_branch_retreat_plus_mixed_amount_volume_gate_v4,COMPLETE_DAILY_CANDIDATES
