overlay_rule,overlay_action,overlay_reduced_position_pct,year,trade_count,period_return,win_rate,avg_account_return,max_drawdown
volume_ratio_bucket=2_4,hard_exclude,,2026,4,0.013792401628739848,0.5,0.00417446341794136,-0.0350052172427846
volume_ratio_bucket=2_4,reduce_position,0.4,2024,13,1.6685984803414606,0.8461538461538461,0.08345581055269019,-0.041271514875011794
volume_ratio_bucket=2_4,reduce_position,0.4,2025,35,7.629477115963047,0.6857142857142857,0.0714658309688886,-0.07867396510495062
volume_ratio_bucket=2_4,reduce_position,0.4,2026,11,0.22463035976523904,0.7272727272727273,0.01917205384426013,-0.0350052172427846
volume_ratio_bucket=2_4,reduce_position,0.2,2024,13,1.487803546591488,0.8461538461538461,0.07758315049955701,-0.02515375659318242
volume_ratio_bucket=2_4,reduce_position,0.2,2025,35,6.910719077220541,0.6857142857142857,0.06875644937645069,-0.07140871221824052
volume_ratio_bucket=2_4,reduce_position,0.2,2026,11,0.11567756329482592,0.7272727272727273,0.010345020270846675,-0.03500521724278449
amount_ratio_bucket=2_3;fd_ratio_bucket=0_5pct_1pct,hard_exclude,,2024,12,1.4919109642774497,0.8333333333333334,0.08491560578287087,-0.0825430297500237
amount_ratio_bucket=2_3;fd_ratio_bucket=0_5pct_1pct,hard_exclude,,2025,25,8.410233220613053,0.8,0.10272281221796929,-0.02081727746959361
amount_ratio_bucket=2_3;fd_ratio_bucket=0_5pct_1pct,hard_exclude,,2026,7,0.10944186582333582,0.5714285714285714,0.016607650308844094,-0.05069411556624581
amount_ratio_bucket=2_3;fd_ratio_bucket=0_5pct_1pct,reduce_position,0.4,2024,13,1.7643110082001776,0.8461538461538461,0.08679238338311096,-0.08254302975002381
amount_ratio_bucket=2_3;fd_ratio_bucket=0_5pct_1pct,reduce_position,0.4,2025,35,8.876569964487935,0.6857142857142857,0.07512901572615698,-0.05416574201298918
amount_ratio_bucket=2_3;fd_ratio_bucket=0_5pct_1pct,reduce_position,0.4,2026,11,0.27818994878231584,0.7272727272727273,0.023697312866539366,-0.05069411556624592
amount_ratio_bucket=2_3;fd_ratio_bucket=0_5pct_1pct,reduce_position,0.2,2024,13,1.6281109862388137,0.8461538461538461,0.08258800974518819,-0.08254302975002381
amount_ratio_bucket=2_3;fd_ratio_bucket=0_5pct_1pct,reduce_position,0.2,2025,35,8.671462142546101,0.6857142857142857,0.07425122651235323,-0.027270138158104307
amount_ratio_bucket=2_3;fd_ratio_bucket=0_5pct_1pct,reduce_position,0.2,2026,11,0.1916612042395338,0.7272727272727273,0.01713290880426553,-0.05069411556624592
amount_ratio_bucket=2_3;first_time_detail_bucket=1100_1330,hard_exclude,,2024,13,2.0367110521229073,0.8461538461538461,0.0952011306589565,-0.08254302975002381
amount_ratio_bucket=2_3;first_time_detail_bucket=1100_1330,hard_exclude,,2025,30,9.982306160222361,0.7333333333333333,0.09208446801451525,-0.10683334681309986
amount_ratio_bucket=2_3;first_time_detail_bucket=1100_1330,hard_exclude,,2026,9,0.32459705235647784,0.6666666666666666,0.03352100952804047,-0.05069411556624592
amount_ratio_bucket=2_3;first_time_detail_bucket=1100_1330,reduce_position,0.4,2024,13,2.0367110521229073,0.8461538461538461,0.0952011306589565,-0.08254302975002381
amount_ratio_bucket=2_3;first_time_detail_bucket=1100_1330,reduce_position,0.4,2025,35,9.569352417646273,0.6857142857142857,0.07790706908310305,-0.10683334681309975
amount_ratio_bucket=2_3;first_time_detail_bucket=1100_1330,reduce_position,0.4,2026,11,0.39387338829600194,0.7272727272727273,0.03212620075701462,-0.05069411556624592
amount_ratio_bucket=2_3;first_time_detail_bucket=1100_1330,reduce_position,0.2,2024,13,2.0367110521229073,0.8461538461538461,0.0952011306589565,-0.08254302975002381
amount_ratio_bucket=2_3;first_time_detail_bucket=1100_1330,reduce_position,0.2,2025,35,9.780754896890254,0.6857142857142857,0.07841830654777235,-0.10683334681309975
amount_ratio_bucket=2_3;first_time_detail_bucket=1100_1330,reduce_position,0.2,2026,11,0.3590362626843573,0.7272727272727273,0.029776240639978416,-0.050694115566246034
amount_ratio_bucket=2_3;market_limit_down_count_bucket=lt_5,hard_exclude,,2024,13,2.0367110521229073,0.8461538461538461,0.0952011306589565,-0.08254302975002381
amount_ratio_bucket=2_3;market_limit_down_count_bucket=lt_5,hard_exclude,,2025,33,11.205711359899498,0.7272727272727273,0.0869584748030266,-0.10683334681309986
amount_ratio_bucket=2_3;market_limit_down_count_bucket=lt_5,hard_exclude,,2026,8,0.1850142022421335,0.625,0.02304637364731328,-0.05069411556624581
amount_ratio_bucket=2_3;market_limit_down_count_bucket=lt_5,reduce_position,0.4,2024,13,2.0367110521229073,0.8461538461538461,0.0952011306589565,-0.08254302975002381
amount_ratio_bucket=2_3;market_limit_down_count_bucket=lt_5,reduce_position,0.4,2025,35,10.138692844413944,0.6857142857142857,0.07943700662688048,-0.10683334681309975
amount_ratio_bucket=2_3;market_limit_down_count_bucket=lt_5,reduce_position,0.4,2026,11,0.32028960026875586,0.7272727272727273,0.026793560003657443,-0.05069411556624592
amount_ratio_bucket=2_3;market_limit_down_count_bucket=lt_5,reduce_position,0.2,2024,13,2.0367110521229073,0.8461538461538461,0.0952011306589565,-0.08254302975002381
amount_ratio_bucket=2_3;market_limit_down_count_bucket=lt_5,reduce_position,0.2,2025,35,10.66635914424332,0.6857142857142857,0.0807132128634385,-0.10683334681309986
amount_ratio_bucket=2_3;market_limit_down_count_bucket=lt_5,reduce_position,0.2,2026,11,0.25152150199271617,0.7272727272727273,0.02177727950994264,-0.05069411556624592
amount_ratio_bucket=2_3;market_segment=chi_next,hard_exclude,,2024,12,1.4919109642774497,0.8333333333333334,0.08491560578287087,-0.0825430297500237
amount_ratio_bucket=2_3;market_segment=chi_next,hard_exclude,,2025,27,10.43743147251765,0.7777777777777778,0.10334797294358399,-0.027607807201236456
