overlay_rule,overlay_action,overlay_reduced_position_pct,rule_factor_count,rule_set_count,initial_cash,final_equity,equity_multiple,executed_trade_count,skipped_trade_count,rule_hit_count,rule_hit_loss_count,rule_hit_win_rate_original,rule_hit_avg_original_return,win_rate,avg_account_return,median_account_return,max_profit,max_loss,max_drawdown,max_consecutive_losses
amount_ratio_bucket=3_5;turnover_rate_bucket=6_10 OR prev_pct_chg_bucket=neg3_0;segment_retreat_state_bucket=weak_below_3,hard_exclude,,4,2,500000.0,26872574.275392827,53.74514855078565,53,6,6,2,0.3333333333333333,-0.027684140468555666,0.7735849056603774,0.08490127674832985,0.05350018540696369,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
open_times_bucket=0;turnover_rate_bucket=6_10 OR prev_pct_chg_bucket=neg3_0;segment_retreat_state_bucket=weak_below_3,hard_exclude,,4,2,500000.0,26872574.275392827,53.74514855078565,53,6,6,2,0.3333333333333333,-0.027684140468555666,0.7735849056603774,0.08490127674832985,0.05350018540696369,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
prev_pct_chg_bucket=neg3_0;segment_retreat_state_bucket=weak_below_3 OR segment_retreat_state_bucket=retreat_weak;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,26872574.275392827,53.74514855078565,53,6,6,2,0.3333333333333333,-0.027684140468555666,0.7735849056603774,0.08490127674832985,0.05350018540696369,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
amount_ratio_bucket=3_5;turnover_rate_bucket=6_10 OR prev_pct_chg_bucket=neg3_0;retreat_state_bucket=warming_2day,reduce_position,0.2,4,2,500000.0,26794039.581769843,53.58807916353968,59,0,3,2,0.0,-0.07327103941058584,0.7288135593220338,0.07624614683938924,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
amount_ratio_bucket=3_5;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;segment_retreat_state_bucket=weak_below_3,reduce_position,0.2,4,2,500000.0,26794039.581769843,53.58807916353968,59,0,3,2,0.0,-0.07327103941058584,0.7288135593220338,0.07624614683938924,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
amount_ratio_bucket=3_5;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;turnover_rate_bucket=15_25,reduce_position,0.2,4,2,500000.0,26794039.581769843,53.58807916353968,59,0,3,2,0.0,-0.07327103941058584,0.7288135593220338,0.07624614683938924,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
open_times_bucket=0;turnover_rate_bucket=6_10 OR prev_pct_chg_bucket=neg3_0;retreat_state_bucket=warming_2day,reduce_position,0.2,4,2,500000.0,26794039.581769843,53.58807916353968,59,0,3,2,0.0,-0.07327103941058584,0.7288135593220338,0.07624614683938924,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
open_times_bucket=0;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;segment_retreat_state_bucket=weak_below_3,reduce_position,0.2,4,2,500000.0,26794039.581769843,53.58807916353968,59,0,3,2,0.0,-0.07327103941058584,0.7288135593220338,0.07624614683938924,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
open_times_bucket=0;turnover_rate_bucket=6_10 OR retreat_state_bucket=warming_2day;turnover_rate_bucket=15_25,reduce_position,0.2,4,2,500000.0,26794039.581769843,53.58807916353968,59,0,3,2,0.0,-0.07327103941058584,0.7288135593220338,0.07624614683938924,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
prev_pct_chg_bucket=neg3_0;retreat_state_bucket=warming_2day OR segment_retreat_state_bucket=retreat_weak;turnover_rate_bucket=6_10,reduce_position,0.2,4,2,500000.0,26794039.581769843,53.58807916353968,59,0,3,2,0.0,-0.07327103941058584,0.7288135593220338,0.07624614683938924,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
retreat_state_bucket=warming_2day;segment_retreat_state_bucket=weak_below_3 OR segment_retreat_state_bucket=retreat_weak;turnover_rate_bucket=6_10,reduce_position,0.2,4,2,500000.0,26794039.581769843,53.58807916353968,59,0,3,2,0.0,-0.07327103941058584,0.7288135593220338,0.07624614683938924,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
retreat_state_bucket=warming_2day;turnover_rate_bucket=15_25 OR segment_retreat_state_bucket=retreat_weak;turnover_rate_bucket=6_10,reduce_position,0.2,4,2,500000.0,26794039.581769843,53.58807916353968,59,0,3,2,0.0,-0.07327103941058584,0.7288135593220338,0.07624614683938924,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10 OR prev_pct_chg_bucket=neg3_0;segment_retreat_state_bucket=weak_below_3,reduce_position,0.2,4,2,500000.0,26793825.712286063,53.58765142457212,59,0,7,2,0.2857142857142857,-0.0309712797682257,0.7288135593220338,0.07620783124802258,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.10683334681309975,2
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10,reduce_position,0.4,4,2,500000.0,26775615.69592644,53.55123139185288,59,0,5,2,0.0,-0.06548403025188873,0.7288135593220338,0.07622665933016728,0.0454512324665184,0.4980539655009626,-0.07140871221824048,-0.0786739651049505,2
