signal_date,strategy_leg,ts_code,name,buy_date,exit_rule,hold_offset,matched_condition_profile_ids,fill_probability,planned_buy_amount,available_fill_amount,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date
20260414,E,301189.SZ,奥尼电子,20260415,fixed_t2_close,2,,1.0,412500.0,1004185207.2026694,OK,20260416,-0.034442800372579074,84.59,84.67459,81.84,81.75816,1.016,1.016,1.0,-0.029316293906028756,True,True,True,20260416,20260415
20260511,E,301188.SZ,力诺药包,20260512,fixed_t2_close,2,,1.0,412500.0,1321441142.0040598,OK,20260513,0.02438865482343755,34.04,34.07404,34.94,34.90506,1.0342,1.0342,1.0,0.019180342510750216,True,True,True,20260513,20260512
20260512,E,300265.SZ,通光线缆,20260513,fixed_t2_close,2,,1.0,412500.0,1206731515.27952,OK,20260514,0.02300502045725006,23.55,23.573549999999997,24.14,24.11586,2.6437,2.6437,1.0,0.018039768772310737,True,True,True,20260514,20260513
20260518,E,301313.SZ,凡拓数创,20260519,fixed_t2_close,2,,1.0,412500.0,438356949.5073901,OK,20260520,0.03852680036143119,47.53,47.577529999999996,49.46,49.41054,1.011,1.011,1.0,0.030834864763839204,True,True,True,20260520,20260519
20260522,E,300179.SZ,四方达,20260525,fixed_hold3_close,3,,1.0,412500.0,1869083742.4431937,OK,20260527,0.07647634478366783,33.32,33.35332,35.94,35.90406,7.186,7.186,1.0,0.06211787912912426,True,True,True,20260527,20260525
20260604,E,301468.SZ,博盈特焊,20260605,fixed_t2_close,2,,1.0,412500.0,626206028.487792,OK,20260608,-0.09724699006977244,51.97,52.021969999999996,47.01,46.96299,1.3489,1.3489,1.0,-0.08108778150644814,True,True,True,20260608,20260605
20260611,E,300263.SZ,隆华科技,20260612,fixed_t2_close,2,,1.0,412500.0,1706078841.404724,OK,20260615,0.022296729535679072,15.61,15.625609999999998,15.99,15.97401,8.5306,8.5306,1.0,0.017455902077423015,True,True,True,20260615,20260612
20260617,E,688598.SH,金博股份,20260618,fixed_hold3_close,3,,1.0,412500.0,737712351.8717839,OK,20260623,0.09289524326830634,52.27,52.322269999999996,57.24,57.18276,2.2169,2.2169,1.0,0.07565249845003867,True,True,True,20260623,20260618
20260618,E,300166.SZ,东方国信,20260622,fixed_t2_close,2,,1.0,412500.0,2374029284.934367,OK,20260623,0.007172827172827301,18.5,18.5185,18.67,18.65133,18.683,18.683,1.0,0.00498878917582428,True,True,True,20260623,20260622
20260626,E,300162.SZ,雷曼光电,20260629,fixed_t2_close,2,,1.0,412500.0,582094850.4300735,OK,20260630,0.07089414082421097,12.87,12.882869999999997,13.81,13.796190000000001,5.29,5.29,1.0,0.05751629117036827,True,True,True,20260630,20260629
20260629,E,688233.SH,神工股份,20260630,fixed_hold3_close,3,,1.0,412500.0,2563707210.0490403,OK,20260702,0.07138140806561877,190.0,190.18999999999997,203.97,203.76603,1.0208,1.0208,1.0,0.05791796102819562,True,True,True,20260702,20260630
20260708,E,301321.SZ,翰博高新,20260709,fixed_t2_close,2,,1.0,412500.0,766185143.7111839,OK,20260710,-0.08452509029432087,52.0,52.05199999999999,47.7,47.652300000000004,1.514,1.514,1.0,-0.07060071560122554,True,True,True,20260710,20260709
20260710,E,300069.SZ,金利华电,20260713,fixed_t2_close,2,,1.0,412500.0,595818420.18,OK,20260714,-0.03235730951810145,41.42,41.46142,40.16,40.119839999999996,2.011,2.011,1.0,-0.02759715758034822,True,True,True,20260714,20260713
20260720,E,300534.SZ,陇神戎发,20260721,fixed_t2_close,2,,1.0,412500.0,460899092.27479,OK,20260722,0.06207917283358699,12.46,12.47246,13.26,13.246739999999999,3.5608,3.5608,1.0,0.05024983318046322,True,True,True,20260722,20260721
20260723,E,300214.SZ,日科化学,20260724,fixed_t2_close,2,,1.0,412500.0,570000529.807875,OK,20260727,0.31496003996003985,10.8,10.8108,14.23,14.215770000000001,3.4069,3.4069,1.0,0.2587075609203296,True,True,True,20260727,20260724
20260729,E,300169.SZ,天晟新材,20260730,fixed_t2_close,2,,1.0,412500.0,224705498.807048,OK,20260731,0.0636346245630579,5.17,5.17517,5.51,5.50449,3.084,3.084,1.0,0.0515320414266585,True,True,True,20260731,20260730
20260730,E,001309.SZ,德明利,20260731,fixed_t2_close,2,,1.0,412500.0,2710493725.8405843,LIMIT_UP_UNBUYABLE,,,,,,,,,,,False,False,False,,20260731
20260731,E,300364.SZ,中文在线,20260803,fixed_t2_close,2,,1.0,412500.0,2220914185.105091,OK,20260804,0.028487589580837414,24.88,24.904879999999995,25.64,25.61436,4.982,4.982,1.0,0.02255922457245347,True,True,True,20260804,20260803
