scenario,condition,day_count,executed_trade_count,b_trade_count,a_trade_count,buy_rejected_count,sell_unresolved_count,review_required_count,no_candidate_count,position_occupied_skip_count,win_rate,avg_account_return,median_account_return,max_profit,max_loss,profit_loss_ratio,initial_equity,final_equity,equity_multiple,max_drawdown,path_conflict_count,limit_down_blocked_trade_count,live_order_enabled,c_trade_count,candidate_return_source_count,audit_or_replay_return_source_count,strict_rank,approx_equity_multiple,approx_executed_trade_count,approx_win_rate,approx_max_drawdown
A_plus_B_plus_C_0584,segment_chain_count_bucket=gte_10;segment_emotion_state_bucket=climax,481,79,25,52,0,0,0,324,78,0.7341772151898734,0.05912546717140074,0.0326313425704338,0.4980539655009626,-0.11800704531551723,2.4580469926442547,500000.0,31580364.548891913,63.16072909778383,-0.13636773737941077,0,0,False,2,0,79,161,1.4831440350617042,18,0.6666666666666666,-0.12823920765991226
A_plus_B_plus_C_1011,segment_limit_up_ratio_bucket=0_5pct_1pct;amount_ratio_bucket=3_5,481,95,24,49,1,0,0,286,99,0.6842105263157895,0.04932508802527119,0.02464048591717308,0.4980539655009626,-0.11800704531551723,2.4711731375391754,500000.0,31531433.74157383,63.062867483147656,-0.13636773737941088,0,1,False,22,0,95,70,1.8473374056290444,99,0.45454545454545453,-0.4982542597587586
A_plus_B_plus_C_0221,market_segment=chi_next;turnover_rate_bucket=6_10,481,91,20,50,1,0,0,292,97,0.6813186813186813,0.05182208901489551,0.0317362084332781,0.4980539655009626,-0.14148486773603755,2.2476592533226003,500000.0,31368596.426392958,62.73719285278592,-0.2030955287091748,0,0,False,21,0,91,43,2.0265408932162474,115,0.4956521739130435,-0.5576804719591044
A_plus_B_plus_C_2462,market_segment=sh_main;segment_emotion_state_bucket=main_rise;turnover_rate_bucket=3_6;first_time_detail_bucket=before_1000,481,110,23,50,3,0,0,254,114,0.6727272727272727,0.04294285694995648,0.021397657350572405,0.4980539655009626,-0.15047872341080068,2.028113107204589,500000.0,31313872.216681898,62.627744433363794,-0.15192826494761125,0,2,False,37,0,110,150,1.518536806016879,73,0.5342465753424658,-0.32733189013511443
A_plus_B_plus_C_0426,market_chain_count_bucket=3_8;first_time_detail_bucket=1000_1100,481,92,24,51,0,0,0,295,94,0.7282608695652174,0.050871351742684354,0.03218377550185595,0.4980539655009626,-0.15893009201354988,1.9807529000146256,500000.0,31204366.796738263,62.408733593476526,-0.1589300920135499,0,1,False,17,0,92,102,1.6661054777180482,55,0.509090909090909,-0.4693021274110426
A_plus_B_plus_C_1578,first_time_detail_bucket=1000_1100;limit_height_rank_bucket=rank_1,481,83,24,51,1,0,0,312,85,0.7228915662650602,0.05635155887427599,0.03356569003410389,0.4980539655009626,-0.16429423524493125,2.185764113585875,500000.0,31039995.234691076,62.07999046938215,-0.16429423524493125,0,1,False,8,0,83,45,2.0242058288703597,33,0.6060606060606061,-0.26893469913662194
A_plus_B_plus_C_1963,segment_chain_count_bucket=gte_10;segment_emotion_state_bucket=climax;fd_ratio_bucket=0_5pct_1pct,481,85,24,52,2,0,0,309,85,0.7058823529411765,0.05490855263582108,0.0317362084332781,0.4980539655009626,-0.11800704531551723,2.428046688295765,500000.0,31038034.955861248,62.0760699117225,-0.13636773737941077,0,0,False,9,0,85,103,1.6641860037270586,18,0.5555555555555556,-0.2016028730850542
A_plus_B_plus_C_0954,segment_limit_up_ratio_bucket=2pct_3pct;market_emotion_state_bucket=main_rise,481,85,23,50,1,0,0,307,88,0.7411764705882353,0.05464341447152192,0.0326313425704338,0.4980539655009626,-0.11800704531551723,2.1447354844387063,500000.0,31010431.284743674,62.02086256948735,-0.14026582438977242,0,0,False,12,0,85,23,2.362468385626031,41,0.6829268292682927,-0.2817203928067944
A_plus_B_plus_C_1806,prev_pct_chg_bucket=neg3_0;segment_limit_height_rank_bucket=rank_1,481,99,23,51,0,0,0,281,101,0.6868686868686869,0.04797599857791669,0.02464048591717308,0.5188303352032584,-0.11800704531551723,2.10916497081183,500000.0,30828409.580828324,61.65681916165665,-0.1454537476219917,0,1,False,25,0,99,31,2.1844375039182964,101,0.45544554455445546,-0.44018979788364687
A_plus_B_plus_C_2053,market_segment=chi_next;segment_emotion_state_bucket=mixed;first_time_detail_bucket=1330_1430,481,93,25,52,0,0,0,296,92,0.7096774193548387,0.05032605976197329,0.025152492959031714,0.4980539655009626,-0.11800704531551723,2.095222739474498,500000.0,30694784.373717677,61.389568747435355,-0.13636773737941077,0,0,False,16,0,93,130,1.579700379303861,61,0.5245901639344263,-0.41073386336335715
A_plus_B_plus_C_0958,segment_limit_up_ratio_bucket=3pct_5pct;market_emotion_state_bucket=main_rise,481,82,24,52,0,0,0,317,82,0.7195121951219512,0.056587735885937386,0.03218377550185595,0.4980539655009626,-0.11800704531551723,2.4717515208500327,500000.0,30575677.621100668,61.15135524220133,-0.13636773737941077,0,0,False,6,0,82,122,1.5984449769612945,25,0.6,-0.14074559530422304
A_plus_B_plus_C_1723,amount_ratio_bucket=2_3;limit_times_detail_bucket=3,481,80,25,51,1,0,0,320,80,0.725,0.05795086191809125,0.03218377550185595,0.4980539655009626,-0.11800704531551723,2.492376874202949,500000.0,30488930.109624606,60.97786021924921,-0.13636773737941088,0,0,False,4,0,80,16,2.639288470773242,50,0.52,-0.4524571124955239
A_plus_B_plus_C_2291,market_chain_count_bucket=15_30;segment_limit_up_count_bucket=10_20;segment_emotion_state_bucket=mixed;turnover_rate_bucket=6_10,481,81,25,52,0,0,0,319,81,0.7407407407407407,0.05719533683865256,0.0326313425704338,0.4980539655009626,-0.11800704531551723,2.2604142009518458,500000.0,30427426.1006052,60.8548522012104,-0.13636773737941088,0,1,False,4,0,81,56,1.9228999291382542,18,0.7777777777777778,-0.08790760092807415
A_plus_B_plus_C_1432,market_emotion_state_bucket=warming;prev_pct_chg_bucket=3_7,481,86,25,51,0,0,0,309,86,0.7093023255813954,0.05387715399398615,0.0304555790165525,0.4980539655009626,-0.11800704531551723,2.449164218387692,500000.0,30320606.7623648,60.6412135247296,-0.13636773737941077,0,0,False,10,0,86,140,1.5556992211619471,35,0.5142857142857142,-0.2970179231970669
A_plus_B_plus_C_1397,market_emotion_state_bucket=warming;turnover_rate_bucket=6_10,481,92,24,52,1,0,0,295,93,0.6847826086956522,0.05036661734225338,0.02804369219992356,0.4980539655009626,-0.11800704531551723,2.5918390048580804,500000.0,30281907.344588276,60.56381468917655,-0.13636773737941077,0,1,False,16,0,92,169,1.4586463727236942,38,0.5,-0.2714079590749079
A_plus_B_plus_C_1738,amount_ratio_bucket=2_3;limit_height_rank_bucket=rank_1,481,78,25,52,1,0,0,325,77,0.7435897435897436,0.059240422669774466,0.03309851630226884,0.4980539655009626,-0.11800704531551723,2.404144551361666,500000.0,30226729.946139716,60.45345989227943,-0.13636773737941088,0,0,False,1,0,78,4,3.4456744631856964,42,0.5952380952380952,-0.2835410728834503
A_plus_B_plus_C_1500,first_time_detail_bucket=1000_1100;turnover_rate_bucket=15_25,481,104,22,50,0,0,0,268,109,0.6634615384615384,0.044898842176648336,0.025795055749052997,0.4980539655009626,-0.15893009201354988,2.2065534343582254,500000.0,30067178.299490396,60.134356598980794,-0.1589300920135498,0,1,False,32,0,104,83,1.758786054393046,148,0.4527027027027027,-0.4976040290561847
A_plus_B_plus_C_2231,market_emotion_state_bucket=main_rise;segment_emotion_state_bucket=warming;amount_ratio_bucket=2_3,481,78,25,52,0,0,0,326,77,0.7435897435897436,0.059041727844327097,0.03218377550185595,0.4980539655009626,-0.11800704531551723,2.3972375171696054,500000.0,29773483.67326565,59.546967346531304,-0.13636773737941088,0,0,False,1,0,78,121,1.6039473914854583,10,0.8,-0.03573732841328414
A_plus_B_plus_C_1092,fd_ratio_bucket=0_5pct_1pct;segment_emotion_state_bucket=climax,481,89,25,52,1,0,0,303,88,0.6966292134831461,0.05186430873018971,0.0291749495998269,0.4980539655009626,-0.11800704531551723,2.3088592248145674,500000.0,29382220.12891354,58.76444025782708,-0.18639313382602873,0,0,False,12,0,89,99,1.7008904756237604,20,0.6,-0.17883287995010422
