signal_date,status,strategy_leg,ts_code,name,buy_date,exit_date,account_return,equity_before,equity_after,blocked_by_leg,blocked_by_code,blocked_until,return_source,peak_equity,drawdown,entry_gate_enabled
20250221,EXECUTED,C,603341.SH,龙旗科技,20250224,20250226,-0.025932331299407505,12591409.427381905,12264884.826584553,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),12591409.427381905,-0.02593233129940753,True
20250228,EXECUTED,A,920284.BJ,灵鸽科技,20250303,20250304,0.04724503493347741,12264884.826584553,12844339.738671618,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),12844339.738671618,0.0,True
20250305,EXECUTED,A,920425.BJ,乐创技术,20250306,20250307,-0.0072990896646454115,12844339.738671618,12750587.751235886,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),12844339.738671618,-0.007299089664645431,True
20250310,EXECUTED,A,301225.SZ,恒勃股份,20250311,20250312,0.06015966551030427,12750587.751235886,13517658.84541002,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),13517658.84541002,0.0,True
20250313,EXECUTED,E,300810.SZ,中科海讯,20250314,20250317,0.11403598058431952,13517658.84541002,15059158.32705065,,,,E_R1:36;first_time=after_1430,15059158.32705065,0.0,True
20250317,EXECUTED,E,300353.SZ,东土科技,20250318,20250319,0.06438028321678321,15059158.32705065,16028671.20515255,,,,E_R1:25;first_time=1000_1100,16028671.20515255,0.0,True
20250320,EXECUTED,E,301079.SZ,邵阳液压,20250321,20250324,0.18887820926527507,16028671.20515255,19056137.919283643,,,,E_R1:25;first_time=1100_1330,19056137.919283643,0.0,True
20250407,EXECUTED,A,920087.BJ,秋乐种业,20250408,20250409,0.48929138851039927,19056137.919283643,28380142.10145561,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),28380142.10145561,0.0,True
20250409,EXECUTED,D,920706.BJ,铁拓机械,20250409,20250411,0.03839764919564094,28380142.10145561,29469872.841989744,,,,D_T2_CLOSE;净收益×80%成交压力,29469872.841989744,0.0,True
20250414,EXECUTED,D,600238.SH,海南椰岛,20250414,20250416,-0.059634578313253,29469872.841989744,27712449.4021125,,,,D_T2_CLOSE;净收益×80%成交压力,29469872.841989744,-0.05963457831325303,True
20250417,EXECUTED,C,002427.SZ,尤夫股份,20250418,20250422,0.14109386284555636,27712449.4021125,31622505.937168583,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),31622505.937168583,0.0,True
20250423,EXECUTED,A,301000.SZ,肇民科技,20250424,20250425,0.06983572429989374,31622505.937168583,33830886.54346844,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),33830886.54346844,0.0,True
20250429,EXECUTED,E,300695.SZ,兆丰股份,20250430,20250506,0.09243449775728453,33830886.54346844,36958027.549797624,,,,E_R1:25;first_time=1100_1330,36958027.549797624,0.0,True
20250506,EXECUTED,C,603657.SH,春光科技,20250507,20250509,0.2332795938039768,36958027.549797624,45579581.204410605,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),45579581.204410605,0.0,True
20250514,EXECUTED,E,300946.SZ,恒而达,20250515,20250519,0.17400613578148472,45579581.204410605,53510708.00032848,,,,E_R1:33;first_time=open_auction,53510708.00032848,0.0,True
20250521,EXECUTED,E,301662.SZ,宏工科技,20250522,20250523,0.007887612426035594,53510708.00032848,53932779.72567784,,,,E_R1:25;first_time=1000_1100,53932779.72567784,0.0,True
20250529,EXECUTED,D,600571.SH,信雅达,20250529,20250603,-0.011270373831775702,53932779.72567784,53324937.13638264,,,,D_T2_CLOSE;净收益×80%成交压力,53932779.72567784,-0.011270373831775649,True
20250603,EXECUTED,E,300945.SZ,曼卡龙,20250604,20250605,-0.01941322960841954,53324937.13638264,52289727.8878995,,,,E_R1:25;first_time=1100_1330,53932779.72567784,-0.030464809085226308,True
20250605,EXECUTED,A,920748.BJ,路桥信息,20250606,20250609,0.34116162308391634,52289727.8878995,70128976.32475162,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),70128976.32475162,0.0,True
20250610,EXECUTED,E,300340.SZ,科恒股份,20250611,20250612,-0.031391836230035,70128976.32475162,67927498.98498501,,,,E_R1:23;first_time=after_1430,70128976.32475162,-0.03139183623003505,True
20250617,EXECUTED,A,300457.SZ,赢合科技,20250618,20250619,0.02150756108281967,67927498.98498501,69388453.81860775,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),70128976.32475162,-0.010559436982434667,True
20250627,EXECUTED,E,300697.SZ,电工合金,20250630,20250701,0.07767941061143199,69388453.81860775,74778508.01447576,,,,E_R1:36;first_time=before_1000,74778508.01447576,0.0,True
20250704,EXECUTED,A,301389.SZ,隆扬电子,20250707,20250708,0.03929523751685393,74778508.01447576,77716947.24806054,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),77716947.24806054,0.0,True
20250708,EXECUTED,E,301526.SZ,国际复材,20250709,20250710,-0.0014851218699331572,77716947.24806054,77601528.11003801,,,,E_R1:25;first_time=before_1000,77716947.24806054,-0.0014851218699329927,True
20250711,EXECUTED,E,300600.SZ,国瑞科技,20250714,20250715,-0.05868216903684547,77601528.11003801,73047702.11996725,,,,E_R1:25;first_time=1000_1100,77716947.24806054,-0.060080140734166676,True
20250715,EXECUTED,A,300378.SZ,鼎捷数智,20250716,20250717,-0.010572056684130495,73047702.11996725,72275437.67250948,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),77716947.24806054,-0.0700170267648651,True
20250721,EXECUTED,D,603977.SH,国泰集团,20250721,20250723,-0.0268436585365853,72275437.67250948,70335300.50304638,,,,D_T2_CLOSE;净收益×80%成交压力,77716947.24806054,-0.09498117214322743,True
20250725,EXECUTED,A,300781.SZ,因赛集团,20250728,20250729,0.012460210822266204,70335300.50304638,71211693.17556179,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),77716947.24806054,-0.08370444675001176,True
20250729,EXECUTED,A,300528.SZ,幸福蓝海,20250730,20250731,0.02337772455587504,71211693.17556179,72876460.52377756,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),77716947.24806054,-0.062283541694360345,True
