scenario,signal_date,strategy_leg,operation_status,ts_code,name,market_segment,risk_flags,account_return,equity_before,equity_after,return_source,active_position,buy_executed,sell_executed,buy_reject_reason,sell_reject_reason,buy_trade_date,exit_trade_date,buy_price,exit_price,path_conflict,limit_down_blocked_days,live_order_enabled,initial_equity,peak_equity,drawdown,residual_filter_scenario,residual_filter_description
A_plus_B_strict,20260409,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,618712.6597690122,618712.6597690122,,603083.SH 剑桥科技,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260410,NONE,NO_CANDIDATE,,,,,0.0,618712.6597690122,618712.6597690122,,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260413,NONE,NO_CANDIDATE,,,,,0.0,618712.6597690122,618712.6597690122,,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260414,A,HISTORICAL_SIM_FILLED,301189.SZ,奥尼电子,chi_next,无,-0.0350052172427846,618712.6597690122,597054.4887029369,a_audit_dynamic_account_return,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0350052172427846,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260415,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,597054.4887029369,597054.4887029369,,301189.SZ 奥尼电子,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0350052172427846,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260416,NONE,NO_CANDIDATE,,,,,0.0,597054.4887029369,597054.4887029369,,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0350052172427846,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260417,A,HISTORICAL_SIM_FILLED,301319.SZ,唯特偶,chi_next,无,0.0352808081329955,597054.4887029369,618119.0535638089,a_audit_dynamic_account_return,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0009594214629856657,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260420,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,618119.0535638089,618119.0535638089,,301319.SZ 唯特偶,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0009594214629856657,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260421,NONE,NO_CANDIDATE,,,,,0.0,618119.0535638089,618119.0535638089,,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0009594214629856657,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260422,NONE,NO_CANDIDATE,,,,,0.0,618119.0535638089,618119.0535638089,,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0009594214629856657,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260423,NONE,NO_CANDIDATE,,,,,0.0,618119.0535638089,618119.0535638089,,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0009594214629856657,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260424,NONE,NO_CANDIDATE,,,,,0.0,618119.0535638089,618119.0535638089,,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0009594214629856657,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260427,NONE,NO_CANDIDATE,,,,,0.0,618119.0535638089,618119.0535638089,,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0009594214629856657,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260428,NONE,NO_CANDIDATE,,,,,0.0,618119.0535638089,618119.0535638089,,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0009594214629856657,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260429,NONE,NO_CANDIDATE,,,,,0.0,618119.0535638089,618119.0535638089,,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0009594214629856657,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260430,NONE,NO_CANDIDATE,,,,,0.0,618119.0535638089,618119.0535638089,,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0009594214629856657,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260506,NONE,NO_CANDIDATE,,,,,0.0,618119.0535638089,618119.0535638089,,,False,False,,,,,,,False,0,False,500000.0,618712.6597690122,-0.0009594214629856657,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260507,B,HISTORICAL_SIM_FILLED,603256.SH,宏和科技,sh_main,无,0.02464048591717308,618119.0535638089,633349.8073982843,b_conservative_daily_replay,,True,True,,,20260508,20260511,145.12497999999997,149.83002,False,0,False,500000.0,633349.8073982843,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260508,A_OR_B,POSITION_OCCUPIED_SKIP,,,,,0.0,633349.8073982843,633349.8073982843,,603256.SH 宏和科技,False,False,,,,,,,False,0,False,500000.0,633349.8073982843,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260511,NONE,NO_CANDIDATE,,,,,0.0,633349.8073982843,633349.8073982843,,,False,False,,,,,,,False,0,False,500000.0,633349.8073982843,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260512,NONE,NO_CANDIDATE,,,,,0.0,633349.8073982843,633349.8073982843,,,False,False,,,,,,,False,0,False,500000.0,633349.8073982843,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260513,NONE,NO_CANDIDATE,,,,,0.0,633349.8073982843,633349.8073982843,,,False,False,,,,,,,False,0,False,500000.0,633349.8073982843,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
A_plus_B_strict,20260514,NONE,NO_CANDIDATE,,,,,0.0,633349.8073982843,633349.8073982843,,,False,False,,,,,,,False,0,False,500000.0,633349.8073982843,0.0,reject_b_open_times_gte_4,B额外过滤炸板次数>=4。
