paper_trade_id,signal_date,ts_code,name,market_segment,signal_status,planned_position_pct,actual_position_pct,strategy_name,conditions,sort_rule,exit_rule,profit_source_score,risk_note
PT00027,20250611,301110.SZ,青木科技,chi_next,ACCEPTED,0.8,0.8000000000000002,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,4.5,无
PT00028,20250617,300457.SZ,赢合科技,chi_next,ACCEPTED,0.8,0.8000000000000002,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.0,无
PT00029,20250704,301389.SZ,隆扬电子,chi_next,ACCEPTED,0.8,0.7999999999999999,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,2.3,无
PT00030,20250715,300378.SZ,鼎捷数智,chi_next,ACCEPTED,0.8,0.7999999999999999,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.0,无
PT00031,20250725,300781.SZ,因赛集团,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.0,无
PT00032,20250729,300528.SZ,幸福蓝海,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.0,无
PT00033,20250902,920274.BJ,宏裕包材,bj,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.0,无
PT00034,20250908,301538.SZ,骏鼎达,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,3.0,无
PT00035,20251010,300260.SZ,新莱应材,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,4.5,无
PT00036,20251014,301323.SZ,新莱福,chi_next,ACCEPTED,0.8,0.8,a_clean_plus_exclude_star_prev0_3_bj_risk_filter,segment_limit_up_count_bucket=lt_5;market_chain_count_bucket=8_15;fd_ratio_bucket=0_5pct_1pct;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,0.0,无
