signal_date,strategy_leg,ts_code,name,buy_date,exit_rule,hold_offset,matched_condition_profile_ids,fill_probability,planned_buy_amount,available_fill_amount,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date
20241230,A,300933.SZ,中辰股份,20241231,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,419255139.798796,OK,20250102,-0.10912815997561742,8.85,8.858849999999999,7.9,7.8921,1.0141,1.0141,1.0,-0.09088180708698067,True,True,True,20250102,20241231
20250102,A,300947.SZ,德必集团,20250103,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,403932243.43845993,OK,20250106,-0.03589240947731509,18.55,18.56855,17.92,17.90208,2.903,2.903,1.0,-0.03051125271615173,True,True,True,20250106,20250103
20250103,A,301568.SZ,思泰克,20250106,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,266686232.87987596,OK,20250107,0.0553471189722734,40.55,40.59054999999999,42.88,42.837120000000006,1.02,1.02,1.0,0.044700387439872334,True,True,True,20250107,20250106
20250106,A,920367.BJ,新赣江,20250107,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,144022275.288703,OK,20250108,0.07063436563436554,18.0,18.017999999999997,19.31,19.290689999999998,1.1416,1.1416,1.0,0.0573021502335164,True,True,True,20250108,20250107
20250110,A,301511.SZ,德福科技,20250113,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,534664879.3288,OK,20250114,0.08050349650349631,15.0,15.014999999999999,16.24,16.22376,1.404,1.404,1.0,0.06543758815384598,True,True,True,20250114,20250113
20250117,A,300661.SZ,圣邦股份,20250120,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,4676759946.50336,OK,20250121,-0.024873553412879224,89.0,89.08899999999998,86.96,86.87303999999999,7.533,7.533,1.0,-0.021428059813557204,True,True,True,20250121,20250120
20250121,A,300638.SZ,广和通,20250122,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,2093212683.6300917,OK,20250123,-0.0335692427080827,28.45,28.478449999999995,27.55,27.52245,8.691,8.691,1.0,-0.02859619258772855,True,True,True,20250123,20250122
20250305,A,920425.BJ,乐创技术,20250306,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,336912689.074254,OK,20250307,-0.007733645664679933,34.8,34.834799999999994,34.6,34.565400000000004,2.1432,2.1432,1.0,-0.007299089664645522,True,True,True,20250307,20250306
20250306,A,920837.BJ,华原股份,20250307,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,494738370.281562,OK,20250310,0.07598794647974993,18.3,18.318299999999997,19.73,19.71027,1.0997,1.0997,1.0,0.06171527690055859,True,True,True,20250310,20250307
20250310,A,301225.SZ,恒勃股份,20250311,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,131000602.13759996,OK,20250312,0.07410082835012033,42.36,42.402359999999994,45.59,45.544410000000006,1.015,1.015,1.0,0.06015966551030429,True,True,True,20250312,20250311
